x:2.0,2.0 funkcja:401.0
x:1.5,2.0 funkcja:6.5
x:1.5,2.0 funkcja:6.5
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.5,2.25 funkcja:0.25
x:1.4990234375,2.25 funkcja:0.24988213935648673
x:1.005859375,1.01171875 funkcja:3.445014590397477E-5
x:1.005859375,1.01171875 funkcja:3.445014590397477E-5
x:1.005859375,1.01171875 funkcja:3.445014590397477E-5
x:1.005859375,1.01171875 funkcja:3.445014590397477E-5
x:1.005859375,1.01171875 funkcja:3.445014590397477E-5
x:1.00579833984375,1.01171875 funkcja:3.440307754370986E-5
x:1.00579833984375,1.01165771484375 funkcja:3.369589993834632E-5
x:1.00579833984375,1.01165771484375 funkcja:3.369589993834632E-5
x:1.000091552734375,1.00018310546875 funkcja:8.381910197169384E-9
x:1.000091552734375,1.00018310546875 funkcja:8.381910197169384E-9
x:1.000091552734375,1.00018310546875 funkcja:8.381910197169384E-9
